"TIME","GEO","AIRPOL","NACE_R2","UNIT","Value"
"2007","United Kingdom","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","81,339.89377"
"2007","United Kingdom","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","23,869.10739"
"2007","United Kingdom","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","10,872.79757"
"2007","United Kingdom","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","287.82941"
"2007","United Kingdom","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes","835.33167"
"2007","Norway","Carbon dioxide","Total - all NACE activities","Thousand tonnes","54,753.704"
"2007","Norway","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","5,219.47937"
"2007","Norway","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","3,692.49494"
"2007","Norway","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","539.06055"
"2007","Norway","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","951.19203"
"2007","Norway","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes","62.74528"
"2007","Switzerland","Carbon dioxide","Total - all NACE activities","Thousand tonnes","27,190.489"
"2007","Switzerland","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","5,189.68079"
"2007","Switzerland","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","2,362.63736"
"2007","Switzerland","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","944.39385"
"2007","Switzerland","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","49.01322"
"2007","Switzerland","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes","168.97496"
"2007","Serbia","Carbon dioxide","Total - all NACE activities","Thousand tonnes",":"
"2007","Serbia","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Serbia","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Serbia","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Serbia","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Serbia","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes",":"
"2007","Turkey","Carbon dioxide","Total - all NACE activities","Thousand tonnes","257,227.427"
"2007","Turkey","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","45,684.63616"
"2007","Turkey","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","26,564.61299"
"2007","Turkey","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Turkey","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Turkey","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes",":"
"2008","European Union (current composition)","Carbon dioxide","Total - all NACE activities","Thousand tonnes","3,491,370.155"
"2008","European Union (current composition)","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","492,145.42589"
"2008","European Union (current composition)","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","255,277.70363"
"2008","European Union (current composition)","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","74,113.85158"
"2008","European Union (current composition)","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2008","European Union (current composition)","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes",":"
"2008","Belgium","Carbon dioxide","Total - all NACE activities","Thousand tonnes","88,793.464"
"2008","Belgium","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","8,626.03419"
"2008","Belgium","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","6,871.87906"
"2008","Belgium","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","1,861.43056"
"2008","Belgium","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","253.10355"
"2008","Belgium","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes","86.65618"
"2008","Bulgaria","Carbon dioxide","Total - all NACE activities","Thousand tonnes","51,791.919"
"2008","Bulgaria","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","2,676.48693"
"2008","Bulgaria","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","2,849.37227"
"2008","Bulgaria","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","398.28342"
"2008","Bulgaria","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","0.02066"
"2008","Bulgaria","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes","9.15804"
"2008","Czech Republic","Carbon dioxide","Total - all NACE activities","Thousand tonnes","99,572.162"
"2008","Czech Republic","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","14,464.10738"
