Dim.1
quanti
   ;correlation;p.value;
Surfhab=Surfhab_600;-0.3472;0;
TAU=TAU_8;-0.0613;0;
Surfhab=Surfhab_46;-0.1516;0;
Surfhab=Surfhab_87;-0.0991;0;
TUU=TUU_3;-0.0087;0;
Contfin=Contfin_3;-0.3366;0;
Surfhab=Surfhab_27;-0.4;0;
Htl=Htl_8;-0.1096;0;
Surfhab=Surfhab_79;-0.2438;0;
Surfhab=Surfhab_53;-0.419;0;
CONFORT1=CONFORT1_1;-0.071;0;
Surfhab=Surfhab_114;-0.1939;0;
Surfhab=Surfhab_75;-0.1147;0;
Surfhab=Surfhab_103;-0.4408;0;
Surfhab=Surfhab_350;-0.49;0;
Surfhab=Surfhab_170;-0.2189;0;
Surfhab=Surfhab_42;-0.4903;0;
Surfhab=Surfhab_36;-0.5429;0;
Surfhab=Surfhab_250;-0.5184;0;
Surfhab=Surfhab_67;-0.2326;0;
Aise=Aise_2;-0.2138;0;
Aise=Aise_1;-0.1834;0;
Surfhab=Surfhab_124;-0.8461;0;
Surfhab=Surfhab_82;-0.2422;0;
Niveau=Niveau_4;-0.111;0;
Surfhab=Surfhab_97;-0.4839;0;
decile.uc=decile.uc_2;-0.0891;0;
DECTYPO_2010=DECTYPO_2010_D0_2;-0.0891;0;
DECTYPO_2017=DECTYPO_2017_D0_2;-0.0891;0;
DNIVIE2=DNIVIE2_4;-0.09;0;
AGEPR=AGEPR_49;-0.3072;0;
AGEPR=AGEPR_57;-0.3256;0;
Niveau=Niveau_6;-0.4065;0;
Niveau=Niveau_5;-0.2636;0;
Niveau=Niveau_3;-0.1025;0;
Niveau=Niveau_2;-0.5118;0;
Niveau=Niveau_1;-0.5701;0;
Espoirb=Espoirb_11;-0.3144;0;
Espoirb=Espoirb_10;-0.4433;0;
Espoirb=Espoirb_8;-0.7957;0;
Espoirb=Espoirb_7;-0.3061;0;
Espoirb=Espoirb_2;-0.8649;0;
Espoirb=Espoirb_1;-0.5458;0;
Espoira=Espoira_11;-0.7131;0;
Espoira=Espoira_10;-0.6752;0;
Espoira=Espoira_7;-0.0264;0;
Espoira=Espoira_2;-0.4326;0;
Espoira=Espoira_1;-0.457;0;
Contfin=Contfin_2;-0.2311;0;
Contfin=Contfin_1;-0.3989;0;
Aise=Aise_5;-0.6278;0;
Aise=Aise_4;-0.4758;0;
Aise=Aise_3;-0.2037;0;
Chomagec=Chomagec_5;-1.2252;0;
Chomagec=Chomagec_4;-0.2482;0;
Chomageb=Chomageb_4;-0.2037;0;
Chomageb=Chomageb_3;-0.2116;0;
Chomageb=Chomageb_2;-0.4444;0;
Chomageb=Chomageb_1;-0.2185;0;
Chomagea=Chomagea_9;-0.6886;0;
Chomagea=Chomagea_5;-0.2937;0;
Chomagea=Chomagea_4;-0.5607;0;
Chomagea=Chomagea_3;-0.1021;0;
Chomagea=Chomagea_2;-0.2438;0;
Chomagea=Chomagea_1;-0.3795;0;
Varif=Varif_2;-0.6806;0;
Varif=Varif_1;-0.9911;0;
Varic=Varic_6;-1.574;0;
Varic=Varic_2;-0.4362;0;
Varic=Varic_1;-0.7703;0;
Varib=Varib_6;-2.1378;0;
Varib=Varib_2;-0.4218;0;
Varib=Varib_1;-0.9008;0;
Varia=Varia_8;-1.0303;0;
Varia=Varia_2;-0.2506;0;
