Dim.1
quanti
   ;correlation;p.value;
NENFANTS=NENFANTS_3;-0.1109;0;
NENFANTS=NENFANTS_2;-0.2916;0;
NENFANTS=NENFANTS_1;-0.5562;0;
NENFANTS=NENFANTS_0;-0.5836;0;
NCOUPLES=NCOUPLES_1;-0.1659;0;
NCOUPLES=NCOUPLES_0;-0.2382;0;
NPERS=NPERS_6;-0.0335;0;
NPERS=NPERS_5;-0.0994;0;
NPERS=NPERS_4;-0.2573;0;
NPERS=NPERS_3;-0.5634;0;
NPERS=NPERS_1;-0.5732;0;
DNIVIE2=DNIVIE2_8;-0.0644;0;
DNIVIE2=DNIVIE2_6;-0.1624;0;
DNIVIE2=DNIVIE2_4;-0.1095;0;
QNIVIE2=QNIVIE2_4;-0.0399;0;
QNIVIE2=QNIVIE2_3;-0.0912;0;
decile.uc=decile.uc_7;-0.0682;0;
decile.uc=decile.uc_6;-0.1697;0;
decile.uc=decile.uc_5;-0.0741;0;
decile.uc=decile.uc_4;-0.0559;0;
DECTYPO_2010=DECTYPO_2010_D0_7;-0.0682;0;
DECTYPO_2010=DECTYPO_2010_D0_6;-0.1697;0;
DECTYPO_2010=DECTYPO_2010_D0_5;-0.0741;0;
DECTYPO_2010=DECTYPO_2010_D0_4;-0.0559;0;
DECTYPO_2017=DECTYPO_2017_D0_7;-0.0682;0;
DECTYPO_2017=DECTYPO_2017_D0_6;-0.1697;0;
DECTYPO_2017=DECTYPO_2017_D0_5;-0.0741;0;
DECTYPO_2017=DECTYPO_2017_D0_4;-0.0559;0;
typo2010.acp.2017=typo2010.acp.2017_3;-0.1135;0;
typo2010.acp.2017=typo2010.acp.2017_1;-0.1655;0;
typo.2.4.2017=typo.2.4.2017_3;-0.107;0;
typo.2.4.2017=typo.2.4.2017_1;-0.1092;0;
pauvrete.60=pauvrete.60_0;-0.0961;0;
pauvreté.50=pauvreté.50_0;-0.137;0;

Dim.9
quanti
   ;correlation;p.value;
w.enerdom;0.3872;0;
w.enerdomtot;0.3506;0;
w.deplogpreng;0.3451;0;
w.logtot;0.3451;0;
w.commo;0.2795;0;
enerdom;0.2686;0;
C14;0.2126;0;
w.enerdir;0.2058;0;
C08;0.1631;0;
commo;0.1631;0;
w.enerdircontr;0.1531;0;
w.revpat;0.1369;0;
REVPAT;0.1142;0;
PREST_FAM_TOT;0.1051;0;
CHOMAGE;0.0993;0;
Axe.5;0.0977;0;
deplogtot;0.0961;0;
C04;0.0961;0;
w.revsoc;0.0905;0;
w.log.non.ener;0.0794;0;
w.depreng;0.0789;0;
w.cantines;0.0726;0;
cantines;0.0693;0;
w.depenerpreng;0.0674;0;
enerdir;0.0662;0;
log.non.ener;0.0264;0;
pondmen.cs24_84;0.0256;0;
pondmen.cs24.NPERS_84;0.0255;0;
pondmen;0.02;0;
REV702;0.0178;0;
Axe.1;0.0026;0;
C06;-0.0036;0;
REVEXC;-0.005;0;
revdiv;-0.0175;0;
C13;-0.0177;0;
Axe.2;-0.0204;0;
C03;-0.0209;0;
C11;-0.0235;0;
REVSOC;-0.0271;0;
w.revact;-0.0357;0;
C09;-0.0367;0;
C05;-0.0382;0;
Rmini;-0.0384;0;
COEFFUC;-0.0407;0;
w.revdiv;-0.0411;0;
SALAIRES;-0.0416;0;
REVINDEP;-0.0438;0;
depreng;-0.0471;0;
ctot113;-0.0482;0;
IMPOTREV_M;-0.049;0;
Rmini_I;-0.0522;0;
REVACT.1;-0.0536;0;
REVACT;-0.0536;0;
w.carbu;-0.0556;0;
C07;-0.0565;0;
C02;-0.0574;0;
NIVIE;-0.0586;0;
redispuc;-0.0586;0;
revlibdispuc;-0.0587;0;
revtotuc;-0.0597;0;
revtotlibuc;-0.0602;0;
revlibdisp;-0.066;0;
C01;-0.0669;0;
C10;-0.0675;0;
revtotlib;-0.0683;0;
REVDISP;-0.0717;0;
Axe.4;-0.0719;0;
REVTOT;-0.073;0;
deptot;-0.0752;0;
carburant;-0.0752;0;
Axe.3;-0.0874;0;
w.television;-0.0891;0;
RETRAITES;-0.1033;0;
television;-0.1231;0;
REV700;-0.1286;0;
C12;-0.1388;0;
TAXHAB_M;-0.1446;0;
REV701;-0.2757;0;
revaide;-0.305;0;
w.revaide;-0.3318;0;
assurances;-0.454;0;
w.assurances;-0.5366;0;

quali
   ;R2;p.value;
pauvreté.50;0.0028;0;
pauvrete.60;0.0047;0;
typo.2.4.2017;0.0048;0;
typo2010.acp.2017;0.0097;0;
DECTYPO_2017;0.0233;0;
DECTYPO_2010;0.0233;0;
decile.uc;0.0233;0;
QNIVIE2;0.0172;0;
DNIVIE2;0.024;0;
NPERS;0.0466;0;
NCOUPLES;0.0246;0;
NENFANTS;0.0154;0;
NACTIFS;0.0141;0;
NENFACT;0.0044;0;
TYPMEN5;0.0457;0;
SEXEPR;0.0022;0;
AGEPR;0.108;0;
CS42PR;0.0809;0;
CSP8PR;0.0087;0;
TYPVOIS;0.0057;0;
TYPLOG;0.0107;0;
TUU;0.0038;0;
CATAEU;0.0084;0;
TAU;0.0061;0;
Nbrs;0.01;0;
Nbphab;0.0126;0;
Surfhab;0.1376;0;
Htl;0.0061;0;
Ancons;0.0303;0;
CONFORT2;0.0027;0;
CONFORT7;6e-04;0;
CONFORT.MOY;0.0144;0;
Stalog;0.0286;0;
stalog4;0.0245;0;
vehic;0.0274;0;
Patrib;0.0446;0;
Varia;0.0176;0;
Varib;0.0263;0;
Varic;0.0095;0;
Varif;0.0117;0;
Chomagea;0.011;0;
Chomageb;0.0109;0;
Chomagec;0.0101;0;
Aise;0.0237;0;
Contfin;0.012;0;
Espoira;0.0191;0;
Espoirb;0.0191;0;
Niveau;0.0244;0;
CONFORT1;4e-04;0;
CONFORT5;3e-04;0;
CONFORT6;0;0;
CONFORT8;0;0;
Existrs;0;0;
CONFORT3;0;0.0074;

category
   ;Estimate;p.value;
Niveau=Niveau_101;1.4453;0;
Niveau=Niveau_9;0.1173;0;
Niveau=Niveau_6;0.1137;0;
Espoirb=Espoirb_101;1.6171;0;
Espoirb=Espoirb_8;0.0791;0;
Espoirb=Espoirb_5;0.0297;0;
Espoira=Espoira_101;1.6007;0;
Espoira=Espoira_99;0.0442;0;
Espoira=Espoira_5;0.0374;0;
Espoira=Espoira_2;0.0182;0;
Espoira=Espoira_1;0.0198;0;
Contfin=Contfin_101;1.3161;0;
Contfin=Contfin_9;0.6784;0;
Aise=Aise_101;1.205;0;
Aise=Aise_9;1.5746;0;
Chomagec=Chomagec_101;1.5973;0;
Chomagec=Chomagec_5;0.2645;0;
Chomageb=Chomageb_101;1.6212;0;
Chomagea=Chomagea_101;1.483;0;
Varif=Varif_101;1.514;0;
Varic=Varic_101;1.5068;0;
Varic=Varic_9;0.0042;0;
Varib=Varib_101;1.6325;0;
Varib=Varib_5;0.0491;0;
Varib=Varib_2;0.0109;0;
Varib=Varib_1;0.0194;0;
Varia=Varia_101;1.1631;0;
Varia=Varia_9;0.2553;0;
Patrib=Patrib_101;1.6828;0;
Patrib=Patrib_15;0.0542;0;
Patrib=Patrib_6;0.1262;0;
Patrib=Patrib_4;0.0015;0;
Patrib=Patrib_2;0.1241;0;
Patrib=Patrib_1;0.2313;0;
vehic=vehic_2;0.1948;0;
stalog4=stalog4_3;0.2101;0;
Stalog=Stalog_4;0.2366;0;
Stalog=Stalog_1;0.0029;0;
CONFORT.MOY=CONFORT.MOY_6;0.2627;0;
CONFORT.MOY=CONFORT.MOY_5;0.3277;0;
CONFORT.MOY=CONFORT.MOY_4;0.186;0;
CONFORT7=CONFORT7_0;0.0409;0;
CONFORT2=CONFORT2_0;0.1574;0;
Ancons=Ancons_101;1.73;0;
Ancons=Ancons_99;0.1154;0;
Ancons=Ancons_2;0.0626;0;
Ancons=Ancons_1;0.0581;0;
Htl=Htl_9;1.4966;0;
Surfhab=Surfhab_999;0.1422;0;
Surfhab=Surfhab_600;0.5154;0;
Surfhab=Surfhab_390;1.9716;0;
Surfhab=Surfhab_350;0.834;0;
Surfhab=Surfhab_307;2.0044;0;
Surfhab=Surfhab_250;0.5745;0;
Surfhab=Surfhab_198;1.1033;0;
Surfhab=Surfhab_196;1.0625;0;
Surfhab=Surfhab_164;0.7492;0;
Surfhab=Surfhab_156;0.6665;0;
Surfhab=Surfhab_147;0.3321;0;
Surfhab=Surfhab_128;0.9583;0;
Surfhab=Surfhab_125;0.2415;0;
Surfhab=Surfhab_120;0.1576;0;
Surfhab=Surfhab_118;0.3295;0;
Surfhab=Surfhab_107;0.5978;0;
Surfhab=Surfhab_106;0.784;0;
Surfhab=Surfhab_99;0.2207;0;
Surfhab=Surfhab_92;0.1311;0;
Surfhab=Surfhab_89;0.5109;0;
Surfhab=Surfhab_75;0.3943;0;
Surfhab=Surfhab_70;0.2436;0;
Surfhab=Surfhab_67;0.4687;0;
Surfhab=Surfhab_64;0.3293;0;
Surfhab=Surfhab_63;0.2251;0;
Surfhab=Surfhab_62;0.4161;0;
Surfhab=Surfhab_57;0.2028;0;
Surfhab=Surfhab_54;0.3523;0;
Surfhab=Surfhab_48;0.2908;0;
Surfhab=Surfhab_46;0.5275;0;
Surfhab=Surfhab_42;0.477;0;
Surfhab=Surfhab_38;0.3384;0;
Surfhab=Surfhab_31;0.7328;0;
Surfhab=Surfhab_27;1.094;0;
Surfhab=Surfhab_26;1.321;0;
Surfhab=Surfhab_22;0.9553;0;
Surfhab=Surfhab_20;0.4944;0;
Surfhab=Surfhab_16;1.3952;0;
Nbphab=Nbphab_99;1.5322;0;
Nbphab=Nbphab_9;0.2027;0;
Nbphab=Nbphab_8;0.0649;0;
Nbrs=Nbrs_9;1.2218;0;
Nbrs=Nbrs_3;0.4876;0;
TAU=TAU_6;0.0089;0;
TAU=TAU_1;0.0184;0;
TAU=TAU_0;0.0321;0;
CATAEU=CATAEU_400;0.1754;0;
CATAEU=CATAEU_221;0.1412;0;
CATAEU=CATAEU_120;0.1611;0;
TUU=TUU_2;0.1255;0;
TYPLOG=TYPLOG_4;0.291;0;
TYPLOG=TYPLOG_3;0.0883;0;
TYPVOIS=TYPVOIS_4;0.1709;0;
CSP8PR=CSP8PR_99;0.6501;0;
CSP8PR=CSP8PR_6;0.0804;0;
CSP8PR=CSP8PR_5;0.0158;0;
CS42PR=CS42PR_99;0.668;0;
CS42PR=CS42PR_85;0.5434;0;
CS42PR=CS42PR_77;0.0652;0;
CS42PR=CS42PR_72;0.242;0;
CS42PR=CS42PR_68;0.486;0;
CS42PR=CS42PR_67;0.274;0;
CS42PR=CS42PR_63;0.0953;0;
CS42PR=CS42PR_56;0.1694;0;
CS42PR=CS42PR_47;0.111;0;
CS42PR=CS42PR_35;0.4647;0;
CS42PR=CS42PR_31;0.2231;0;
CS42PR=CS42PR_23;0.4283;0;
CS42PR=CS42PR_21;0.1445;0;
AGEPR=AGEPR_93;1.456;0;
AGEPR=AGEPR_91;1.2845;0;
AGEPR=AGEPR_87;0.5502;0;
AGEPR=AGEPR_86;0.4613;0;
AGEPR=AGEPR_84;0.279;0;
AGEPR=AGEPR_82;0.1789;0;
AGEPR=AGEPR_80;0.3543;0;
AGEPR=AGEPR_68;0.2616;0;
AGEPR=AGEPR_60;0.4004;0;
AGEPR=AGEPR_49;0.1383;0;
AGEPR=AGEPR_47;0.3818;0;
AGEPR=AGEPR_45;0.2324;0;
AGEPR=AGEPR_44;0.2104;0;
AGEPR=AGEPR_43;0.1352;0;
AGEPR=AGEPR_42;0.1211;0;
AGEPR=AGEPR_40;0.3445;0;
AGEPR=AGEPR_38;0.4159;0;
AGEPR=AGEPR_36;0.2362;0;
AGEPR=AGEPR_31;0.2545;0;
AGEPR=AGEPR_25;0.3027;0;
AGEPR=AGEPR_21;0.5661;0;
SEXEPR=SEXEPR_2;0.0395;0;
TYPMEN5=TYPMEN5_2;0.2063;0;
TYPMEN5=TYPMEN5_1;0.2344;0;
NENFACT=NENFACT_1;0.1997;0;
NENFACT=NENFACT_0;0.284;0;
NACTIFS=NACTIFS_3;0.0165;0;
NACTIFS=NACTIFS_2;0.1052;0;
NACTIFS=NACTIFS_1;0.2822;0;
NACTIFS=NACTIFS_0;0.1193;0;
NENFANTS=NENFANTS_6;0.2754;0;
NENFANTS=NENFANTS_5;2.0183;0;
NCOUPLES=NCOUPLES_0;0.1336;0;
NPERS=NPERS_8;0.5726;0;
NPERS=NPERS_7;0.5966;0;
NPERS=NPERS_6;0.206;0;
DNIVIE2=DNIVIE2_3;0.1685;0;
DNIVIE2=DNIVIE2_2;0.1888;0;
DNIVIE2=DNIVIE2_1;0.125;0;
QNIVIE2=QNIVIE2_2;0.0971;0;
QNIVIE2=QNIVIE2_1;0.1617;0;
decile.uc=decile.uc_4;0.0477;0;
decile.uc=decile.uc_3;0.1488;0;
decile.uc=decile.uc_2;0.17;0;
decile.uc=decile.uc_1;0.1394;0;
DECTYPO_2010=DECTYPO_2010_D0_4;0.0477;0;
DECTYPO_2010=DECTYPO_2010_D0_3;0.1488;0;
DECTYPO_2010=DECTYPO_2010_D0_2;0.17;0;
DECTYPO_2010=DECTYPO_2010_D0_1;0.1394;0;
DECTYPO_2017=DECTYPO_2017_D0_4;0.0477;0;
DECTYPO_2017=DECTYPO_2017_D0_3;0.1488;0;
DECTYPO_2017=DECTYPO_2017_D0_2;0.17;0;
DECTYPO_2017=DECTYPO_2017_D0_1;0.1394;0;
typo2010.acp.2017=typo2010.acp.2017_2;0.146;0;
typo.2.4.2017=typo.2.4.2017_2;0.0588;0;
typo.2.4.2017=typo.2.4.2017_1;0.0309;0;
pauvrete.60=pauvrete.60_1;0.083;0;
pauvreté.50=pauvreté.50_1;0.0862;0;
CONFORT1=CONFORT1_1;0.0554;0;
AGEPR=AGEPR_46;0.1081;0;
Surfhab=Surfhab_145;0.3526;0;
CS42PR=CS42PR_46;0.0487;0;
Surfhab=Surfhab_113;0.3939;0;
AGEPR=AGEPR_41;0.1222;0;
Surfhab=Surfhab_79;0.2485;0;
CSP8PR=CSP8PR_2;0.0407;0;
Surfhab=Surfhab_234;0.5388;0;
AGEPR=AGEPR_61;0.1013;0;
Stalog=Stalog_3;0.1898;0;
Surfhab=Surfhab_58;0.1925;0;
AGEPR=AGEPR_24;0.1263;0;
CATAEU=CATAEU_111;0.0141;0;
Surfhab=Surfhab_180;0.1205;0;
AGEPR=AGEPR_50;0.0901;0;
AGEPR=AGEPR_52;0.0923;0;
DNIVIE2=DNIVIE2_4;0.032;0;
CONFORT5=CONFORT5_1;0.0198;0;
CONFORT.MOY=CONFORT.MOY_2;0.763;0;
AGEPR=AGEPR_54;0.0846;0;
CONFORT.MOY=CONFORT.MOY_7;0.2175;0;
CONFORT.MOY=CONFORT.MOY_0;0.5003;0;
Surfhab=Surfhab_200;0.112;0;
Surfhab=Surfhab_170;0.1526;0;
Surfhab=Surfhab_190;0.2184;0;
Surfhab=Surfhab_143;0.4515;0;
decile.uc=decile.uc_5;0.0278;0;
DECTYPO_2010=DECTYPO_2010_D0_5;0.0278;0;
DECTYPO_2017=DECTYPO_2017_D0_5;0.0278;0;
AGEPR=AGEPR_35;0.0921;0;
TUU=TUU_5;0.0466;0;
Surfhab=Surfhab_86;0.1889;0;
AGEPR=AGEPR_34;0.1012;0;
AGEPR=AGEPR_66;0.0814;0;
CS42PR=CS42PR_55;0.0539;0;
TYPLOG=TYPLOG_2;0.1877;0;
AGEPR=AGEPR_22;0.1162;0;
Surfhab=Surfhab_230;0.3107;0;
Surfhab=Surfhab_39;0.1459;0;
Surfhab=Surfhab_40;0.0987;0;
Surfhab=Surfhab_142;0.4511;0;
CS42PR=CS42PR_65;0.047;0;
AGEPR=AGEPR_59;0.0733;0;
Surfhab=Surfhab_83;0.1405;0;
Surfhab=Surfhab_210;0.1795;0;
Surfhab=Surfhab_74;0.1235;0;
CS42PR=CS42PR_86;0.0641;0;
Surfhab=Surfhab_96;0.1034;0;
CS42PR=CS42PR_78;0.0126;0;
Surfhab=Surfhab_44;0.1999;0;
Ancons=Ancons_3;0.0039;0;
AGEPR=AGEPR_75;0.0848;0;
Surfhab=Surfhab_149;0.2879;0;
Surfhab=Surfhab_36;0.2026;0;
AGEPR=AGEPR_33;0.0683;0;
CATAEU=CATAEU_300;0.0606;0;
AGEPR=AGEPR_32;0.0632;0;
Surfhab=Surfhab_13;0.2288;0;
CS42PR=CS42PR_12;0.1;0;
Nbphab=Nbphab_19;0.0704;0;
AGEPR=AGEPR_76;0.0694;0;
CS42PR=CS42PR_53;0.0499;0;
DNIVIE2=DNIVIE2_7;0.0113;0;
typo.2.4.2017=typo.2.4.2017_4;8e-04;0;
Surfhab=Surfhab_82;0.0706;0;
CS42PR=CS42PR_64;0.0323;0;
Surfhab=Surfhab_43;0.1305;0;
Surfhab=Surfhab_61;0.165;0;
TYPLOG=TYPLOG_6;0.3549;0;
TAU=TAU_5;0.5388;0;
AGEPR=AGEPR_48;0.0425;0;
CONFORT.MOY=CONFORT.MOY_1;0.2231;0;
Surfhab=Surfhab_35;0.0643;0;
Surfhab=Surfhab_115;0.075;0;
TUU=TUU_0;0.0145;0;
TYPVOIS=TYPVOIS_1;0.0077;0;
AGEPR=AGEPR_39;0.0397;0;
Surfhab=Surfhab_103;0.1128;0;
TYPVOIS=TYPVOIS_3;0.0114;0;
Surfhab=Surfhab_28;0.136;0;
Surfhab=Surfhab_30;0.0351;0;
Surfhab=Surfhab_127;0.0858;0;
TYPVOIS=TYPVOIS_2;0.0124;0;
Surfhab=Surfhab_51;0.0953;0;
Surfhab=Surfhab_78;0.0416;0;
Surfhab=Surfhab_130;0.0241;0;
AGEPR=AGEPR_30;0.0268;0;
CONFORT6=CONFORT6_0;0.0031;0;
AGEPR=AGEPR_51;0.0178;0;
TAU=TAU_99;0.0428;0;
CATAEU=CATAEU_999;0.1429;0;
TYPLOG=TYPLOG_1;0.2139;0;
Surfhab=Surfhab_185;0.0482;0;
CONFORT8=CONFORT8_0;0.0302;0;
Surfhab=Surfhab_47;0.0227;0;
Existrs=Existrs_2;0.0036;0;
Surfhab=Surfhab_33;0.0277;0;
TYPMEN5=TYPMEN5_4;0.0669;3e-04;
AGEPR=AGEPR_37;0.0101;0.0013;
AGEPR=AGEPR_83;0.0135;0.0014;
AGEPR=AGEPR_85;0.0165;0.0066;
CONFORT3=CONFORT3_1;0.0049;0.0074;
AGEPR=AGEPR_74;0.0145;0.0079;
Surfhab=Surfhab_77;0.041;0.008;
CONFORT3=CONFORT3_0;-0.0049;0.0074;
Ancons=Ancons_7;-0.0347;0.003;
Surfhab=Surfhab_88;-0.0247;0.0029;
TAU=TAU_7;-0.0687;0.0019;
Surfhab=Surfhab_160;-0.0165;1e-04;
Surfhab=Surfhab_340;-0.0762;1e-04;
Surfhab=Surfhab_87;-0.022;1e-04;
Chomagec=Chomagec_3;-0.1758;0;
typo2010.acp.2017=typo2010.acp.2017_1;-0.022;0;
AGEPR=AGEPR_88;-0.0481;0;
Chomageb=Chomageb_4;-0.1232;0;
Espoira=Espoira_12;-0.1726;0;
Existrs=Existrs_1;-0.0036;0;
CS42PR=CS42PR_52;-0.024;0;
Surfhab=Surfhab_260;-0.0565;0;
CONFORT8=CONFORT8_1;-0.0302;0;
Surfhab=Surfhab_10;-0.065;0;
CS42PR=CS42PR_54;-0.0279;0;
Contfin=Contfin_2;-0.4463;0;
Surfhab=Surfhab_101;-0.0459;0;
NENFANTS=NENFANTS_2;-0.5886;0;
Htl=Htl_3;-0.1679;0;
Surfhab=Surfhab_122;-0.0561;0;
CS42PR=CS42PR_71;-0.0443;0;
Htl=Htl_1;-0.2659;0;
CSP8PR=CSP8PR_3;-0.0394;0;
CONFORT6=CONFORT6_1;-0.0031;0;
Surfhab=Surfhab_169;-0.1213;0;
TUU=TUU_7;-0.001;0;
Espoirb=Espoirb_7;-0.1486;0;
CSP8PR=CSP8PR_0;-0.1823;0;
CS42PR=CS42PR_0;-0.1644;0;
Patrib=Patrib_99;-0.0862;0;
decile.uc=decile.uc_7;-0.0171;0;
DECTYPO_2010=DECTYPO_2010_D0_7;-0.0171;0;
DECTYPO_2017=DECTYPO_2017_D0_7;-0.0171;0;
Varib=Varib_4;-0.1221;0;
Htl=Htl_5;-0.3369;0;
Nbphab=Nbphab_13;-0.0797;0;
Surfhab=Surfhab_197;-0.1264;0;
Surfhab=Surfhab_72;-0.0377;0;
CS42PR=CS42PR_37;-0.0331;0;
Surfhab=Surfhab_166;-0.1893;0;
Nbphab=Nbphab_10;-0.2867;0;
TUU=TUU_4;-0.0106;0;
Surfhab=Surfhab_50;-0.0323;0;
CS42PR=CS42PR_62;-0.0375;0;
Surfhab=Surfhab_41;-0.0891;0;
Surfhab=Surfhab_135;-0.1357;0;
Surfhab=Surfhab_104;-0.0884;0;
TUU=TUU_1;-0.0112;0;
Surfhab=Surfhab_124;-0.1673;0;
Chomageb=Chomageb_2;-0.124;0;
AGEPR=AGEPR_69;-0.0419;0;
Surfhab=Surfhab_144;-0.1503;0;
Ancons=Ancons_8;-0.0041;0;
Espoira=Espoira_10;-0.1418;0;
Surfhab=Surfhab_53;-0.1496;0;
Surfhab=Surfhab_45;-0.0518;0;
Surfhab=Surfhab_116;-0.1345;0;
Surfhab=Surfhab_153;-0.2222;0;
typo2010.acp.2017=typo2010.acp.2017_4;-0.0131;0;
Varif=Varif_1;-0.2744;0;
Surfhab=Surfhab_34;-0.1339;0;
CS42PR=CS42PR_74;-0.0444;0;
AGEPR=AGEPR_63;-0.0529;0;
Stalog=Stalog_5;-0.0495;0;
Varia=Varia_8;-0.3808;0;
Contfin=Contfin_8;-0.6649;0;
Niveau=Niveau_1;-0.4175;0;
Varif=Varif_3;-0.2341;0;
Varic=Varic_1;-0.2217;0;
Ancons=Ancons_9;-0.0094;0;
Surfhab=Surfhab_71;-0.1318;0;
Surfhab=Surfhab_25;-0.2657;0;
Surfhab=Surfhab_18;-0.1759;0;
Htl=Htl_2;-0.2536;0;
Nbphab=Nbphab_7;-0.1744;0;
Surfhab=Surfhab_52;-0.093;0;
Surfhab=Surfhab_93;-0.325;0;
Surfhab=Surfhab_94;-0.1746;0;
TAU=TAU_2;-0.1942;0;
Aise=Aise_8;-0.1671;0;
Chomageb=Chomageb_5;-0.2432;0;
CS42PR=CS42PR_69;-0.256;0;
Espoirb=Espoirb_3;-0.1781;0;
NPERS=NPERS_4;-0.3233;0;
TAU=TAU_8;-0.0959;0;
Patrib=Patrib_11;-0.036;0;
Surfhab=Surfhab_140;-0.0771;0;
Chomagea=Chomagea_4;-0.2009;0;
CS42PR=CS42PR_22;-0.0952;0;
AGEPR=AGEPR_64;-0.1083;0;
Surfhab=Surfhab_117;-0.2685;0;
CS42PR=CS42PR_11;-0.2883;0;
CS42PR=CS42PR_33;-0.1468;0;
Chomageb=Chomageb_3;-0.1988;0;
Surfhab=Surfhab_56;-0.1805;0;
TUU=TUU_3;-0.0732;0;
CSP8PR=CSP8PR_4;-0.0607;0;
CATAEU=CATAEU_211;-0.0688;0;
CONFORT5=CONFORT5_0;-0.0198;0;
Espoirb=Espoirb_12;-0.2293;0;
Varic=Varic_6;-0.3363;0;
Surfhab=Surfhab_148;-0.5671;0;
Patrib=Patrib_7;-0.0163;0;
CS42PR=CS42PR_38;-0.0799;0;
AGEPR=AGEPR_26;-0.1395;0;
Surfhab=Surfhab_81;-0.535;0;
Chomagea=Chomagea_5;-0.1289;0;
Espoira=Espoira_6;-0.2412;0;
CS42PR=CS42PR_48;-0.1201;0;
Nbphab=Nbphab_1;-0.151;0;
Chomagea=Chomagea_99;-0.2596;0;
Chomagec=Chomagec_9;-0.3417;0;
Chomagea=Chomagea_3;-0.22;0;
AGEPR=AGEPR_57;-0.1234;0;
Espoirb=Espoirb_1;-0.2408;0;
Nbrs=Nbrs_2;-0.6858;0;
AGEPR=AGEPR_78;-0.1999;0;
CS42PR=CS42PR_34;-0.1083;0;
Espoira=Espoira_11;-0.1276;0;
Surfhab=Surfhab_60;-0.1023;0;
CS42PR=CS42PR_43;-0.0933;0;
Surfhab=Surfhab_69;-0.2675;0;
CONFORT1=CONFORT1_0;-0.0554;0;
Niveau=Niveau_5;-0.191;0;
Niveau=Niveau_4;-0.2602;0;
Niveau=Niveau_3;-0.4011;0;
Niveau=Niveau_2;-0.4064;0;
Espoirb=Espoirb_11;-0.0868;0;
Espoirb=Espoirb_10;-0.2585;0;
Espoirb=Espoirb_9;-0.3067;0;
Espoirb=Espoirb_6;-0.0195;0;
Espoirb=Espoirb_4;-0.0741;0;
Espoirb=Espoirb_2;-0.047;0;
Espoira=Espoira_9;-0.3154;0;
Espoira=Espoira_8;-0.0378;0;
Espoira=Espoira_7;-0.2036;0;
Espoira=Espoira_4;-0.2256;0;
Espoira=Espoira_3;-0.2546;0;
Contfin=Contfin_3;-0.3874;0;
Contfin=Contfin_1;-0.4958;0;
Aise=Aise_5;-0.425;0;
Aise=Aise_4;-0.3944;0;
Aise=Aise_3;-0.5285;0;
Aise=Aise_2;-0.6624;0;
Aise=Aise_1;-0.6021;0;
Chomagec=Chomagec_99;-0.152;0;
Chomagec=Chomagec_4;-0.3499;0;
Chomagec=Chomagec_2;-0.4061;0;
Chomagec=Chomagec_1;-0.4362;0;
Chomageb=Chomageb_99;-0.106;0;
Chomageb=Chomageb_9;-0.5484;0;
Chomageb=Chomageb_1;-0.2778;0;
Chomagea=Chomagea_9;-0.0671;0;
Chomagea=Chomagea_2;-0.229;0;
Chomagea=Chomagea_1;-0.3775;0;
Varif=Varif_9;-0.1373;0;
Varif=Varif_5;-0.3797;0;
Varif=Varif_4;-0.3106;0;
Varif=Varif_2;-0.1779;0;
Varic=Varic_5;-0.2006;0;
Varic=Varic_4;-0.3005;0;
Varic=Varic_3;-0.2903;0;
Varic=Varic_2;-0.1616;0;
Varib=Varib_6;-1.4102;0;
Varib=Varib_3;-0.1797;0;
Varia=Varia_2;-0.3996;0;
Varia=Varia_1;-0.6381;0;
Patrib=Patrib_98;-0.331;0;
Patrib=Patrib_14;-0.2502;0;
Patrib=Patrib_13;-0.2734;0;
Patrib=Patrib_12;-0.1922;0;
Patrib=Patrib_10;-0.2523;0;
Patrib=Patrib_9;-0.217;0;
Patrib=Patrib_8;-0.1973;0;
Patrib=Patrib_5;-0.181;0;
Patrib=Patrib_3;-0.1874;0;
vehic=vehic_1;-0.1948;0;
stalog4=stalog4_4;-0.1272;0;
stalog4=stalog4_2;-0.062;0;
stalog4=stalog4_1;-0.021;0;
Stalog=Stalog_6;-0.3417;0;
Stalog=Stalog_2;-0.0381;0;
CONFORT.MOY=CONFORT.MOY_3;-2.4804;0;
CONFORT7=CONFORT7_1;-0.0409;0;
CONFORT2=CONFORT2_1;-0.1574;0;
Ancons=Ancons_10;-1.3157;0;
Ancons=Ancons_6;-0.3059;0;
Ancons=Ancons_5;-0.215;0;
Ancons=Ancons_4;-0.0852;0;
Htl=Htl_8;-0.4723;0;
Surfhab=Surfhab_218;-1.0709;0;
Surfhab=Surfhab_165;-1.1929;0;
Surfhab=Surfhab_159;-0.7029;0;
Surfhab=Surfhab_155;-2.0135;0;
Surfhab=Surfhab_150;-0.1632;0;
Surfhab=Surfhab_132;-1.7308;0;
Surfhab=Surfhab_119;-1.2785;0;
Surfhab=Surfhab_114;-0.4024;0;
Surfhab=Surfhab_112;-0.8084;0;
Surfhab=Surfhab_111;-1.4228;0;
Surfhab=Surfhab_110;-0.0885;0;
Surfhab=Surfhab_109;-1.0636;0;
Surfhab=Surfhab_108;-0.8182;0;
Surfhab=Surfhab_105;-0.2834;0;
Surfhab=Surfhab_102;-1.9634;0;
Surfhab=Surfhab_100;-0.0912;0;
Surfhab=Surfhab_97;-0.3258;0;
Surfhab=Surfhab_95;-0.2442;0;
Surfhab=Surfhab_91;-0.7147;0;
Surfhab=Surfhab_90;-0.1671;0;
