"année";"nom territoire";"code insee";"nom commune";"secteur";"énergie";"usage";"valeur (GWh)"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Tertiaire";"Electricité";"Climatisation";"0,00116583935876588"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Tertiaire";"Electricité";"Cuisson";"0,0000947815271880192"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Tertiaire";"Electricité";"Eclairage public";"0,00451332491240106"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Tertiaire";"Electricité";"ECS";"0,000136543163521903"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Tertiaire";"Electricité";"Electricité spécifique";"0,00272901306698314"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Tertiaire";"Electricité";"Tous usages";"0,0106192233001406"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Tertiaire";"ENRt";"Autres usages";"0,0000113282125548439"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Tertiaire";"ENRt";"Chauffage";"0,000240639951209593"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Tertiaire";"ENRt";"Cuisson";"0,00000389221362419356"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Tertiaire";"ENRt";"ECS";"0,0000115125097502483"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Tertiaire";"ENRt";"Tous usages";"0,000267372887138879"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Tertiaire";"PP";"Autres usages";"0,0000105947617992167"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Tertiaire";"PP";"Chauffage";"0,000835153680650443"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Tertiaire";"PP";"Cuisson";"0,00000970166231682861"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Tertiaire";"PP";"ECS";"0,0000421830026690856"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Tertiaire";"PP";"Tous usages";"0,000897633107435574"
